"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":282}]","282","Instructions","CRTv","instructions","106","62926","0.0-116.0","",""
"","516","CRTv_01","CRTv","survey-text","107","63445","0.0-117.0","{""Q0"":""1. El papá de María tiene 5 hijas y ningún hijo: Nana, Nene, Nini, Nono ¿Cuál es probablemente el nombre de la quinta hija?""}","{""Q0"":""X40JJy0PkkT0HANnqvo7AiAzcbPifb98GlEyFbX1xcB5aKdlcK9ZB0ROaE5iCU7OlFWTjoqMFCb2L3Jt72GuVYPYEiHYF7""}"
"","455","CRTv_02","CRTv","survey-text","108","63901","0.0-118.0","{""Q0"":""2. Si estuvieras corriendo una carrera y pasaras a la persona en segundo lugar ¿En qué lugar quedarías?""}","{""Q0"":""uSPNSyvwhsJHjZSkb7DTDHljWT4gaVg5Bw""}"
"","488","CRTv_03","CRTv","survey-text","109","64392","0.0-119.0","{""Q0"":""3. En una noche de tormenta un avión despega desde Nueva York. La tormenta empeora y el avión se estrella. La mitad cae en los Estados Unidos y la otra mitad en Canadá ¿En qué país enterrarías a los sobrevivientes?""}","{""Q0"":""NKYryS""}"
"","500","CRTv_04","CRTv","survey-text","110","64894","0.0-120.0","{""Q0"":""4. Un mono, una ardilla, y un pájaro están haciendo una carrera hacia la punta de un manzano ¿Quién obtendrá el plátano primero? ¿El mono, la ardilla o el pájaro?""}","{""Q0"":""KYqVY8DkEt94ly5veSqExr76PTLVJiFKlVa2v""}"
"","423","CRTv_05","CRTv","survey-text","111","65321","0.0-121.0","{""Q0"":""5. En una casa de un piso color rojo, había una persona roja, un gato rojo, un pez rojo, un computador rojo, una silla roja, una tabla roja, un teléfono rojo, una ducha roja ¡Todo era de color rojo! ¿De qué color son probablemente las escaleras?""}","{""Q0"":""brNDJUsYsu0dDYsDeR4MOFdg0S2hYr2v""}"
"","433","CRTv_06","CRTv","survey-text","112","65756","0.0-122.0","{""Q0"":""6. ¿Qué número de cada animal puso Moisés en el arca?""}","{""Q0"":""ixGIWJdozBe3r5wEmDBu2hDmj7gfCENrN4jLq2UyQB1TG6VDUN9Ytmspqo97QbXuV""}"
"","436","CRTv_07","CRTv","survey-text","113","66194","0.0-123.0","{""Q0"":""7. El viento fluye en dirección oeste. Un tren eléctrico viaja hacia el este ¿En qué dirección cardinal viaja el humo de la locomotora?""}","{""Q0"":""XZ4whq6Whqlt0txCQI3XZcVkOvNVOxMm1Ivhev""}"
"","435","CRTv_08","CRTv","survey-text","114","66631","0.0-124.0","{""Q0"":""8. Si tienes solo un fósforo y caminas a una habitación oscura donde hay aceite de lámpara, un periódico y madera ¿Qué cosa prenderías primero?""}","{""Q0"":""LV5vxKMB6ClcNTHhGPO7hxCUjkOQrd18Z37vQbbrf""}"
"","458","CRTv_09","CRTv","survey-text","115","67091","0.0-125.0","{""Q0"":""9. ¿Sería ético que un hombre se casara con la hermana de su viuda?""}","{""Q0"":""Fz7bQ2SIScNmK3tlmy8HI4ai9aLQ0tZ9UtbiKVZDFnmFn""}"
"","448","CRTv_10","CRTv","survey-text","116","67540","0.0-126.0","{""Q0"":""10. ¿Cuál de las oraciones es correcta? a) ‘La yema del huevo son blancas’ o b) ‘La yema del huevo es blanca’""}","{""Q0"":""kai8oNQj36jD8EtylYjjiFAnlKbKqqg8FDxP0dZwaEfxwuq0WUcHW3kFof0""}"
